SubExp,Group,Cond1,Cond2,Cond3,Condition,Context,Item,StimAnt,StimResp,Audiostim,QUD
SI3,1,Cleft,NonIsland,PP,1,1,1,There were many posters in the music store.,"Yeah, it was Katy Perry of whom there were many posters in the music store.",1AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,2,Cleft,NonIsland,PP,1,2,2,There were several photos at the movie theater.,"Yeah, it was Kate Winslet of whom there were several photos at the movie theater.",2AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,3,Cleft,NonIsland,PP,1,3,3,There were two paintings in the politician's office.,"Yeah, it was George W. Bush of whom there were two paintings in the politician's office.",3AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,4,Cleft,NonIsland,PP,1,4,4,There were some samples on the album.,"Yeah, it was Rihanna of whom there were some samples on the album.",4AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,5,Cleft,NonIsland,PP,1,5,5,There were four videos on the campaign website.,"Yeah, it was Bill Clinton of whom there were four videos on the campaign website.",5AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,6,Cleft,NonIsland,PP,1,6,6,There were four drawings on the fan website.,"Yeah, it was Justin Bieber of whom there were four drawings on the fan website.",6AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,7,Cleft,NonIsland,PP,1,7,7,There were five unflattering pictures in the tabloids.,"Yeah, it was Adele of whom there were five unflattering pictures in the tabloids.",7AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,8,Cleft,NonIsland,PP,1,8,8,There were several statues in the museum.,"Yeah, it was Abraham Lincoln of whom there were several statues in the museum.",8AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,1,Cleft,NonIsland,PP,1,9,9,There were many masks in the artist's studio.,"Yeah, it was Richard Nixon of whom there were many masks in the artist's studio.",9AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,2,Cleft,NonIsland,PP,1,10,10,There were a few images on the CD album cover.,"Yeah, it was Beyoncé of whom there were a few images on the CD album cover.",10AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,3,Cleft,NonIsland,PP,1,11,11,There were five mug shots in the book about early rock and roll.,"Yeah, it was Elvis Presley of whom there were five mug shots in the book about early rock and roll.",11AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,4,Cleft,NonIsland,PP,1,12,12,There were many amusing sketches in the movie's storyboards.,"Yeah, it was Tom Cruise of whom there were many amusing sketches in the movie's storyboards.",12AntNI_CLNIPP.mp3,Please rate how natural Anne's response sounds.
SI3,5,Cleft,NonIsland,PP,1,13,13,There were three poems in the literary anthology.,"Yeah, it was Aphrodite about whom there were three poems in the literary anthology.",13AntNI_CLNIPP.mp3,Please rate how natural Bill's response sounds.
SI3,6,Cleft,NonIsland,PP,1,14,14,There were several t.v. shows on the fall lineup.,"Yeah, it was Marilyn Monroe about whom there were several t.v. shows on the fall lineup.",14AntNI_CLNIPP.mp3,Please rate how natural Bill's response sounds.
