SubExp,Group,Cond1,Cond2,Condition,Context,Item,Audiostim,Stim,QUD
jimmy,1,Neut,A1,1,1,1,1JimNeutA1.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at the upcoming party.,Please rate how natural Anne's sentence sounds.
jimmy,2,V1,A1,2,1,2,1JimV1A1.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at the upcoming party.,Please rate how natural Anne's sentence sounds.
jimmy,3,V2,A1,3,1,3,1JimV2A1.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at the upcoming party.,Please rate how natural Anne's sentence sounds.
jimmy,4,Neut,A2,4,1,4,1JimNeutA2.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at yesterday’s party.,Please rate how natural Anne's sentence sounds.
jimmy,5,V1,A2,5,1,5,1JimV1A2.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at yesterday’s party.,Please rate how natural Anne's sentence sounds.
jimmy,6,V2,A2,6,1,6,1JimV2A2.mp3,Jimmy is going to comfort the girl that he had accidentally insulted at yesterday’s party.,Please rate how natural Anne's sentence sounds.
jimmy,2,Neut,A1,1,2,7,2JimNeutA1.mp3,Sarah is going to watch the lawyer that she had argued with at tomorrow’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,V1,A1,2,2,8,2JimV1A1.mp3,Sarah is going to watch the lawyer that she had argued with at tomorrow’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,4,V2,A1,3,2,9,2JimV2A1.mp3,Sarah is going to watch the lawyer that she had argued with at tomorrow’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,5,Neut,A2,4,2,10,2JimNeutA2.mp3,Sarah is going to watch the lawyer that she had argued with at yesterday’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,V1,A2,5,2,11,2JimV1A2.mp3,Sarah is going to watch the lawyer that she had argued with at yesterday’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,1,V2,A2,6,2,12,2JimV2A2.mp3,Sarah is going to watch the lawyer that she had argued with at yesterday’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,Neut,A1,1,3,13,3JimNeutA1.mp3,Allen is going to avoid the banker that he had borrowed from at next week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,4,V1,A1,2,3,14,3JimV1A1.mp3,Allen is going to avoid the banker that he had borrowed from at next week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,5,V2,A1,3,3,15,3JimV2A1.mp3,Allen is going to avoid the banker that he had borrowed from at next week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,Neut,A2,4,3,16,3JimNeutA2.mp3,Allen is going to avoid the banker that he had borrowed from at last week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,1,V1,A2,5,3,17,3JimV1A2.mp3,Allen is going to avoid the banker that he had borrowed from at last week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,2,V2,A2,6,3,18,3JimV2A2.mp3,Allen is going to avoid the banker that he had borrowed from at last week’s meeting.,Please rate how natural Anne's sentence sounds.
jimmy,4,Neut,A1,1,4,19,4JimNeutA1.mp3,Jared is going to promote the secretary that he had been mean to at the next business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,5,V1,A1,2,4,20,4JimV1A1.mp3,Jared is going to promote the secretary that he had been mean to at the next business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,V2,A1,3,4,21,4JimV2A1.mp3,Jared is going to promote the secretary that he had been mean to at the next business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,1,Neut,A2,4,4,22,4JimNeutA2.mp3,Jared is going to promote the secretary that he had been mean to at the last business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,2,V1,A2,5,4,23,4JimV1A2.mp3,Jared is going to promote the secretary that he had been mean to at the last business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,V2,A2,6,4,24,4JimV2A2.mp3,Jared is going to promote the secretary that he had been mean to at the last business meeting.,Please rate how natural Anne's sentence sounds.
jimmy,5,Neut,A1,1,5,25,5JimNeutA1.mp3,Diane is going to charm the landlord that she had badmouthed at the next tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,V1,A1,2,5,26,5JimV1A1.mp3,Diane is going to charm the landlord that she had badmouthed at the next tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,1,V2,A1,3,5,27,5JimV2A1.mp3,Diane is going to charm the landlord that she had badmouthed at the next tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,2,Neut,A2,4,5,28,5JimNeutA2.mp3,Diane is going to charm the landlord that she had badmouthed at the last tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,V1,A2,5,5,29,5JimV1A2.mp3,Diane is going to charm the landlord that she had badmouthed at the last tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,4,V2,A2,6,5,30,5JimV2A2.mp3,Diane is going to charm the landlord that she had badmouthed at the last tenants’ meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,Neut,A1,1,6,31,6JimNeutA1.mp3,Karen is going to call the chef that she had complimented at next week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,1,V1,A1,2,6,32,6JimV1A1.mp3,Karen is going to call the chef that she had complimented at next week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,2,V2,A1,3,6,33,6JimV2A1.mp3,Karen is going to call the chef that she had complimented at next week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,3,Neut,A2,4,6,34,6JimNeutA2.mp3,Karen is going to call the chef that she had complimented at last week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,4,V1,A2,5,6,35,6JimV1A2.mp3,Karen is going to call the chef that she had complimented at last week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,5,V2,A2,6,6,36,6JimV2A2.mp3,Karen is going to call the chef that she had complimented at last week’s banquet.,Please rate how natural Anne's sentence sounds.
jimmy,1,Neut,A1,1,7,37,7JimNeutA1.mp3,Brian is going to interview the diplomat that he had misquoted at the next UN session.,Please rate how natural Anne's sentence sounds.
jimmy,2,V1,A1,2,7,38,7JimV1A1.mp3,Brian is going to interview the diplomat that he had misquoted at the next UN session.,Please rate how natural Anne's sentence sounds.
jimmy,3,V2,A1,3,7,39,7JimV2A1.mp3,Brian is going to interview the diplomat that he had misquoted at the next UN session.,Please rate how natural Anne's sentence sounds.
jimmy,4,Neut,A2,4,7,40,7JimNeutA2.mp3,Brian is going to interview the diplomat that he had misquoted at the last UN session.,Please rate how natural Anne's sentence sounds.
jimmy,5,V1,A2,5,7,41,7JimV1A2.mp3,Brian is going to interview the diplomat that he had misquoted at the last UN session.,Please rate how natural Anne's sentence sounds.
jimmy,6,V2,A2,6,7,42,7JimV2A2.mp3,Brian is going to interview the diplomat that he had misquoted at the last UN session.,Please rate how natural Anne's sentence sounds.
jimmy,2,Neut,A1,1,8,43,8JimNeutA1.mp3,Nancy is going to text the model that she had just hired during tomorrow’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,V1,A1,2,8,44,8JimV1A1.mp3,Nancy is going to text the model that she had just hired during tomorrow’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,4,V2,A1,3,8,45,8JimV2A1.mp3,Nancy is going to text the model that she had just hired during tomorrow’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,5,Neut,A2,4,8,46,8JimNeutA2.mp3,Nancy is going to text the model that she had just hired during yesterday’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,6,V1,A2,5,8,47,8JimV1A2.mp3,Nancy is going to text the model that she had just hired during yesterday’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,1,V2,A2,6,8,48,8JimV2A2.mp3,Nancy is going to text the model that she had just hired during yesterday’s morning meeting.,Please rate how natural Anne's sentence sounds.
jimmy,3,Neut,A1,1,9,49,9JimNeutA1.mp3,Jerry is going to kiss the actress that he had just met at the upcoming Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,4,V1,A1,2,9,50,9JimV1A1.mp3,Jerry is going to kiss the actress that he had just met at the upcoming Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,5,V2,A1,3,9,51,9JimV2A1.mp3,Jerry is going to kiss the actress that he had just met at the upcoming Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,6,Neut,A2,4,9,52,9JimNeutA2.mp3,Jerry is going to kiss the actress that he had just met at the last Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,1,V1,A2,5,9,53,9JimV1A2.mp3,Jerry is going to kiss the actress that he had just met at the last Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,2,V2,A2,6,9,54,9JimV2A2.mp3,Jerry is going to kiss the actress that he had just met at the last Oscars ceremony.,Please rate how natural Anne's sentence sounds.
jimmy,4,Neut,A1,1,10,55,10JimNeutA1.mp3,Brenda is going to overtip the waiter that she had been rude to at the next dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,5,V1,A1,2,10,56,10JimV1A1.mp3,Brenda is going to overtip the waiter that she had been rude to at the next dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,6,V2,A1,3,10,57,10JimV2A1.mp3,Brenda is going to overtip the waiter that she had been rude to at the next dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,1,Neut,A2,4,10,58,10JimNeutA2.mp3,Brenda is going to overtip the waiter that she had been rude to at the last dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,2,V1,A2,5,10,59,10JimV1A2.mp3,Brenda is going to overtip the waiter that she had been rude to at the last dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,3,V2,A2,6,10,60,10JimV2A2.mp3,Brenda is going to overtip the waiter that she had been rude to at the last dinner out.,Please rate how natural Anne's sentence sounds.
jimmy,5,Neut,A1,1,11,61,11JimNeutA1.mp3,Gary is going to email the professor that he had worked for during the next summer break.,Please rate how natural Anne's sentence sounds.
jimmy,6,V1,A1,2,11,62,11JimV1A1.mp3,Gary is going to email the professor that he had worked for during the next summer break.,Please rate how natural Anne's sentence sounds.
jimmy,1,V2,A1,3,11,63,11JimV2A1.mp3,Gary is going to email the professor that he had worked for during the next summer break.,Please rate how natural Anne's sentence sounds.
jimmy,2,Neut,A2,4,11,64,11JimNeutA2.mp3,Gary is going to email the professor that he had worked for during the last summer break.,Please rate how natural Anne's sentence sounds.
jimmy,3,V1,A2,5,11,65,11JimV1A2.mp3,Gary is going to email the professor that he had worked for during the last summer break.,Please rate how natural Anne's sentence sounds.
