SubExp,Group,Cond1,Cond2,Cond3,Condition,Context,Item,Audiostim,Stim,QUD,AltA,AltB,HighResponse,HighResponsePresentationOrder
whaud,1,short,nobnd,V1,1,1,1,whaud1a.mp3,When did Louisa say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa said it on Tuesday.,Louisa hurt her ankle on Tuesday.,Louisa said it on Tuesday.,1
whaud,2,short,nobnd,V2,2,1,2,whaud1b.mp3,When did Louisa say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa said it on Tuesday.,Louisa hurt her ankle on Tuesday.,Louisa said it on Tuesday.,1
whaud,3,short,bnd,V1,3,1,3,whaud1c.mp3,When did Louisa say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa said it on Tuesday.,Louisa hurt her ankle on Tuesday.,Louisa said it on Tuesday.,1
whaud,4,short,bnd,V2,4,1,4,whaud1d.mp3,When did Louisa say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa said it on Tuesday.,Louisa hurt her ankle on Tuesday.,Louisa said it on Tuesday.,1
whaud,5,long,nobnd,V1,5,1,5,whaud1e.mp3,When did Louisa Morgenstern say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa Morgenstern said it on Tuesday.,Louisa Morgenstern hurt her ankle on Tuesday.,Louisa Morgenstern said it on Tuesday.,1
whaud,6,long,nobnd,V2,6,1,6,whaud1f.mp3,When did Louisa Morgenstern say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa Morgenstern said it on Tuesday.,Louisa Morgenstern hurt her ankle on Tuesday.,Louisa Morgenstern said it on Tuesday.,1
whaud,7,long,bnd,V1,7,1,7,whaud1g.mp3,When did Louisa Morgenstern say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa Morgenstern said it on Tuesday.,Louisa Morgenstern hurt her ankle on Tuesday.,Louisa Morgenstern said it on Tuesday.,1
whaud,8,long,bnd,V2,8,1,8,whaud1h.mp3,When did Louisa Morgenstern say that she hurt her ankle?,Which answer fits best with how you understood the question?,Louisa Morgenstern said it on Tuesday.,Louisa Morgenstern hurt her ankle on Tuesday.,Louisa Morgenstern said it on Tuesday.,1
whaud,2,short,nobnd,V1,1,2,9,whaud2a.mp3,Where did Bill announce that the highway crumbled?,Which answer fits best with how you understood the question?,Bill announced it at City Hall.,The highway crumbled by the bridge.,Bill announced it at City Hall.,1
whaud,3,short,nobnd,V2,2,2,10,whaud2b.mp3,Where did Bill announce that the highway crumbled?,Which answer fits best with how you understood the question?,Bill announced it at City Hall.,The highway crumbled by the bridge.,Bill announced it at City Hall.,1
